VDC,Capacity,Rail Available
3A,4730,TRUE
3F,170,TRUE
4J,840,FALSE
7J,480,TRUE
7M,200,TRUE
BC,1150,FALSE
BE,1710,FALSE
BM,50,TRUE
CE,810,TRUE
CW,40,FALSE
DI,830,FALSE
DO,1080,TRUE
DV,50,TRUE
DW,450,TRUE
DZ,1690,TRUE
EC,270,TRUE
FF,4590,TRUE
GU,900,FALSE
JC,720,FALSE
LM,1180,FALSE
MN,1670,FALSE
MR,380,FALSE
NM,460,FALSE
NZ,900,TRUE
OX,720,FALSE
PB,330,FALSE
PH,530,FALSE
QT,730,TRUE
RJ,480,FALSE
RO,5310,TRUE
RS,440,FALSE
RX,20,TRUE
SO,5020,TRUE
SU,170,FALSE
SZ,440,FALSE
UL,790,TRUE
VE,800,FALSE
VG,230,FALSE
VH,670,FALSE
VW,420,TRUE
WL,280,TRUE
QW,200,TRUE
WH,200,FALSE
WK,200,TRUE
