Location,Dealer?,Latitude,Longitude
2,1,36.8,-158.91
3,1,21.3,-174.8
4,1,17.71,166.8
5,1,26.77,167.85
6,1,27.32,-169.05
7,1,21.45,163.64
8,1,25.64,-179.47
9,1,19.65,178.4
10,1,26.36,162.74
11,1,35.92,-165.01
12,1,20.15,162.08
13,1,19.92,170
14,1,25.53,165.74
15,1,23.41,174.55
16,1,33.3,-155.58
17,1,20.58,172.07
18,1,22.49,175.35
19,1,27.16,174.34
20,1,17.64,158.74
21,1,19.23,-177.25
22,1,25.91,174.97
23,1,43.09,-174.95
24,1,27.14,167.57
25,1,29.55,-178.9
26,1,27.27,178.9
27,1,13.01,158.89
28,1,20.82,166.16
29,1,21.22,176.45
30,1,19.99,-178.43
31,1,25.84,174.72
32,1,21.72,178.19
33,1,20.83,163.33
34,1,32.92,-152.58
35,1,21.07,170.02
36,1,34.74,-163.42
37,1,16.89,175.12
38,1,26.92,172.25
39,1,25.58,167.15
40,1,22.35,-178.11
41,1,20.33,161.38
42,1,18.13,158.55
43,1,33.51,175.62
44,1,17.6,176.27
45,1,30.86,-152.72
46,1,21.71,171.82
47,1,25.68,-174.58
48,1,17.51,158.27
49,1,17.15,160.36
50,1,18.55,174.71
51,1,26.86,-150.66
52,1,28.33,177.43
53,1,14.12,-166.63
54,1,26.16,170.27
55,1,19.26,168.25
56,1,25.79,164.36
57,1,31.44,165.95
58,1,15.7,162.37
59,1,23.26,178.37
60,1,35.78,-157.62
61,1,26.98,175.54
62,1,19.1,171.41
63,1,20.46,163.49
64,1,17.67,166.19
65,1,24.96,174.93
66,1,18.98,-160.03
67,1,21.37,170.67
68,1,24.81,-150.22
69,1,21.72,174.81
70,1,17.56,163.03
71,1,20.75,163.11
72,1,13.33,166.03
73,1,18.43,-176.59
74,1,24.63,171.5
75,1,32,178.28
76,1,29,169.16
77,1,20.06,-178.66
78,1,20.58,170.22
79,1,33.67,-178.48
80,1,29.79,166.68
81,1,31.21,-179.66
82,1,16.27,172.1
83,1,18.24,165.58
84,1,35.9,-157.5
85,1,20.95,170.09
86,1,22.04,163.89
87,1,17.61,158.04
88,1,17.89,167.01
89,1,24.57,175.74
90,1,35.82,-157.49
91,1,20.4,174.85
92,1,15.77,159.37
93,1,23.3,172.53
94,1,22.16,163.3
95,1,21.15,176.19
96,1,33.33,165.34
97,1,33.45,-155.77
98,1,27.99,174.59
99,1,28.89,169.39
100,1,30.33,-172.26
101,1,26.58,166.54
102,1,12.88,158.73
103,1,20.72,170.83
104,1,33.47,-155.53
105,1,35.53,-155.13
106,1,25.07,-150.41
107,1,22.72,179.27
108,1,17.62,-175.18
109,1,26.02,164.11
110,1,21.3,166.59
111,1,16.33,-171.95
112,1,28.6,169.37
113,1,30.8,166.91
114,1,27.06,-176.6
115,1,19.76,160.56
116,1,19.31,178.65
117,1,18.97,163.81
118,1,20.86,169.66
119,1,29.04,-176.77
120,1,34.94,-178.3
121,1,34.79,-179.58
122,1,25.49,164.55
123,1,19.85,167.2
124,1,32.09,-178.65
125,1,28.52,-151.17
126,1,27.52,164.21
127,1,18.98,161.64
128,1,33.45,175.23
129,1,32.4,175.78
130,1,23.71,163.42
131,1,23.95,-177.59
132,1,27.42,170.21
133,1,30.61,-154.71
134,1,32.28,-178.1
135,1,31.04,169.78
136,1,19.15,162.17
137,1,34.86,-178.21
138,1,15.8,161.9
139,1,32.24,-178.44
140,1,21.94,162.16
141,1,32.35,-152.56
142,1,22.58,170.59
143,1,32.39,-154.41
144,1,38.97,-179.1
145,1,20,162.05
146,1,30.86,168.82
147,1,18.76,165.84
148,1,27.14,174.56
149,1,26.24,166.41
150,1,19.66,160.88
151,1,27.12,-169.41
