,Start of Path,End of Path,Number of Cars on Path
0,3A,13782,92.0
1,3A,16263,1219.0
2,3A,15716,0.0
3,3A,13196,20.0
4,3A,16214,797.0
5,3A,13777,112.0
6,3A,20783,209.0
7,3A,20564,11.0
8,3A,20092,316.0
9,3A,20665,0.0
10,3A,16025,215.0
11,3A,12024,60.0
12,3A,8636,179.0
13,3A,13957,34.0
14,3A,19241,0.0
15,3A,12449,5.0
16,3A,14319,119.0
17,3A,13303,0.0
18,3A,20926,0.0
19,3A,18687,182.0
20,3A,15269,36.0
21,3A,20721,45.0
22,3A,16777,0.0
23,3A,12621,0.0
24,3A,21708,0.0
25,3A,20389,179.0
26,3A,13695,2234.0
27,3A,16317,0.0
28,3A,12550,0.0
29,3A,15044,0.0
30,3A,8734,26.0
31,3A,16739,0.0
32,3A,18474,0.0
33,3A,16217,0.0
34,3A,13758,0.0
35,3A,16194,0.0
36,3A,9111,90.0
37,3A,18375,0.0
38,3A,20021,26.0
39,3A,17493,259.0
40,3A,15648,230.0
41,3A,15930,0.0
42,3A,20411,0.0
43,3A,16268,0.0
44,3A,15685,66.0
45,3A,21101,66.0
46,3A,12610,0.0
47,3A,15680,0.0
48,3A,14036,20.0
49,3A,13724,7.0
50,3A,14492,55.0
51,3A,15451,0.0
52,3A,21065,0.0
53,3A,15308,0.0
54,3A,15683,118.0
55,3A,16273,0.0
56,3A,18429,0.0
57,3A,15107,68.0
58,3A,13975,26.0
59,3A,20432,0.0
60,3A,12591,24.0
61,3A,16363,640.0
62,3A,16740,476.0
63,3A,21111,52.0
64,3A,8767,0.0
65,3A,12524,120.0
66,3A,8475,0.0
67,3A,16352,335.0
68,3A,8648,113.0
69,3A,15526,0.0
70,3A,14505,0.0
71,3A,16299,0.0
72,3A,12450,347.0
73,3A,20285,0.0
74,3A,9397,0.0
75,3A,15699,0.0
76,3A,16131,0.0
77,3A,8678,0.0
78,3A,13531,0.0
79,3A,14550,39.0
80,3A,20483,0.0
81,3A,15617,125.0
82,3A,21276,0.0
83,3A,16128,0.0
84,3A,9076,46.0
85,3A,20197,4.0
86,3A,15636,166.0
87,3A,16766,184.0
88,3A,12766,70.0
89,3A,16560,11.0
90,3A,13133,49.0
91,3A,9145,0.0
92,3A,13137,0.0
93,3A,9321,0.0
94,3A,20397,354.0
95,3A,8755,529.0
96,3A,8616,7.0
97,3A,9108,0.0
98,3A,13825,0.0
99,3A,16285,0.0
100,3A,20574,0.0
101,3A,13464,164.0
102,3A,21033,0.0
103,3A,14757,43.0
104,3A,14188,0.0
105,3A,9140,0.0
106,3A,14112,92.0
107,3A,13394,7.0
108,3A,8765,82.0
109,3A,13502,0.0
110,3A,20039,0.0
111,3A,13340,142.0
112,3A,13967,0.0
113,3A,12100,0.0
114,3A,8520,0.0
115,3A,14720,13.0
116,3A,16632,24.0
117,3A,13693,44.0
118,3A,12563,0.0
119,3A,15444,256.0
120,3A,13760,240.0
121,3A,13228,12.0
122,3A,20453,54.0
123,3A,14958,35.0
124,3A,16425,249.0
125,3A,13863,13.0
126,3A,18117,0.0
127,3A,15227,0.0
128,3A,16783,19.0
129,3A,12518,149.0
130,3A,14864,35.0
131,3A,15966,85.0
132,3A,19877,10.0
133,3A,14713,80.0
134,3A,19977,854.0
135,3A,13891,37.0
136,3A,13619,24.0
137,3A,13589,30.0
138,3A,18521,0.0
139,3A,20157,103.0
140,3A,19207,6.0
141,3A,9185,55.0
142,3A,14435,446.0
143,3A,9238,0.0
144,3A,12528,0.0
145,3A,13692,38.0
146,3A,20293,7.0
147,3A,13788,0.0
148,3A,15432,78.0
149,3A,19018,0.0
150,3A,8592,0.0
151,3A,15904,0.0
152,3A,15223,24.0
153,3A,19725,0.0
154,3A,15686,0.0
155,3A,14194,0.0
156,3A,15382,0.0
157,3A,13800,793.0
158,3A,15536,39.0
159,3A,20962,99.0
160,3A,16193,0.0
161,3A,13841,817.0
162,3A,17221,123.0
163,3A,15696,154.0
164,3A,16013,0.0
165,3A,21311,49.0
166,3A,12881,18.0
167,3A,16261,0.0
168,3A,14484,51.0
169,3A,14537,609.0
170,3A,14829,86.0
171,3A,12520,55.0
172,3A,14749,0.0
173,3A,16222,0.0
174,3A,16758,240.0
175,3A,15289,673.0
176,3A,16237,185.0
177,3A,19998,0.0
178,3A,15224,0.0
179,3A,12247,301.0
180,3A,17322,27.0
181,3A,4009,39.0
182,3A,15706,0.0
183,3A,14689,0.0
184,3A,15928,0.0
185,3A,13676,0.0
186,3A,13473,0.0
187,3A,20782,273.0
188,3A,20306,84.0
189,3A,20333,0.0
190,3A,8740,0.0
191,3A,20958,35.0
192,3A,16206,373.0
193,3A,9147,0.0
194,3A,14839,12.0
195,3A,14790,98.0
196,3A,9166,167.0
197,3A,11961,0.0
198,3A,14744,12.0
199,3A,20367,52.0
200,3A,14607,453.0
201,3A,8708,234.0
202,3A,13544,62.0
203,3A,13878,11.0
204,3A,16314,143.0
205,3A,8522,0.0
206,3A,14389,0.0
207,3A,14843,0.0
208,3A,15162,0.0
209,3A,14453,46.0
210,3A,8639,126.0
211,3A,12155,0.0
212,3A,13751,0.0
213,3A,12863,0.0
214,3A,12072,0.0
215,3A,8649,0.0
216,3A,16539,281.0
217,3A,13521,0.0
218,3A,18967,104.0
219,3A,15522,0.0
220,3A,20310,0.0
221,3A,16008,0.0
222,3A,13899,0.0
223,3A,15192,169.0
224,3A,19386,0.0
225,3A,16143,0.0
226,3A,15168,41.0
227,3A,16229,0.0
228,3A,14029,0.0
229,3A,16427,78.0
230,3A,13694,0.0
231,3A,14557,12.0
232,3A,17918,91.0
233,3A,16311,0.0
234,3A,14612,49.0
235,3A,16197,0.0
236,3A,15279,495.0
237,3A,13935,0.0
238,3A,14753,0.0
239,3A,14336,0.0
240,3A,16142,0.0
241,3A,20602,0.0
242,3A,20949,17.0
243,3A,18629,0.0
244,3A,8706,0.0
245,3A,12140,80.0
246,3A,15615,0.0
247,3A,14739,0.0
248,3A,15242,0.0
249,3A,9340,0.0
250,3A,16312,644.0
251,3A,8508,5.0
252,3A,15659,46.0
253,3A,15409,36.0
254,3A,8676,110.0
255,3A,13874,20.0
256,3A,8818,0.0
257,3A,13318,14.0
258,3A,20321,63.0
259,3A,16305,0.0
260,3A,13505,102.0
261,3A,18735,0.0
262,3A,15176,43.0
263,3A,13802,68.0
264,3A,21615,0.0
265,3A,16303,143.0
266,3A,16371,0.0
267,3A,16734,120.0
268,3A,18984,12.0
269,3A,12366,59.0
270,3A,19139,9.0
271,3A,15956,39.0
272,3A,8701,0.0
273,3A,20119,0.0
274,3A,15407,47.0
275,3A,18257,0.0
276,3A,8548,0.0
277,3A,20558,0.0
278,3A,13980,0.0
279,3A,21605,0.0
280,3A,15094,0.0
281,3A,15737,0.0
282,3A,19992,0.0
283,3A,19454,0.0
284,3A,18391,0.0
285,3A,8705,0.0
286,3A,13442,19.0
287,3A,15638,0.0
288,3A,18951,72.0
289,3A,8712,0.0
290,3A,7363,95.0
291,3A,20315,0.0
292,3A,12154,0.0
293,3A,12156,0.0
294,3A,16375,519.0
295,3A,16297,0.0
296,3A,8731,0.0
297,3A,18619,19.0
298,3A,20853,0.0
299,3A,483,0.0
300,3A,18548,0.0
301,3A,16648,36.0
302,3A,11964,83.0
303,3A,12021,0.0
304,3A,14210,0.0
305,3A,20549,137.0
306,3A,15506,0.0
307,3A,13395,79.0
308,3A,14703,75.0
309,3A,14076,43.0
310,3A,14069,12.0
311,3A,13138,0.0
312,3A,12051,0.0
313,3A,15994,0.0
314,3A,15466,0.0
315,3A,15296,0.0
316,3A,20955,42.0
317,3A,13453,115.0
318,3A,20594,0.0
319,3A,15085,36.0
320,3A,16805,42.0
321,3A,14490,22.0
322,3A,13962,0.0
323,3A,14208,0.0
324,3A,15675,847.0
325,3A,13895,89.0
326,3A,21268,18.0
327,3A,20948,168.0
328,3A,20940,11.0
329,3A,13514,0.0
330,3A,19470,0.0
331,3A,21671,0.0
332,3A,16269,0.0
333,3A,14728,0.0
334,3A,20589,22.0
335,3A,15316,0.0
336,3A,13859,38.0
337,3A,16480,0.0
338,3A,8642,0.0
339,3A,15619,238.0
340,3A,20025,0.0
341,3A,19077,90.0
342,3A,19661,0.0
343,3A,15311,0.0
344,3A,18848,0.0
345,3A,16012,0.0
346,3A,12237,0.0
347,3A,12598,14.0
348,3A,20551,17.0
349,3A,8744,0.0
350,3A,16781,0.0
351,3A,16251,46.0
352,3A,18825,39.0
353,3A,13139,0.0
354,3A,19366,23.0
355,3A,16199,0.0
356,3A,13757,0.0
357,3A,13763,119.0
358,3A,9033,11.0
359,3A,18934,14.0
360,3A,19585,35.0
361,3A,16272,159.0
362,3A,19971,0.0
363,3A,20961,0.0
364,3A,16257,0.0
365,3A,14892,0.0
366,3A,14838,0.0
367,3A,15430,4.0
368,3A,8619,0.0
369,3A,13602,38.0
370,3A,19880,0.0
371,3A,19420,0.0
372,3A,13540,103.0
373,3A,17302,0.0
374,3A,20452,0.0
375,3A,9109,0.0
376,3A,12152,60.0
377,3A,13192,36.0
378,3A,14249,0.0
379,3A,9383,0.0
380,3A,13839,0.0
381,3A,16387,0.0
382,3A,14327,391.0
383,3A,18190,66.0
384,3A,8774,124.0
385,3A,18446,0.0
386,3A,12311,0.0
387,3A,13292,0.0
388,3A,15187,138.0
389,3A,15974,0.0
390,3A,15553,40.0
391,3A,12390,0.0
392,3A,9351,3.0
393,3A,13737,98.0
394,3A,19491,35.0
395,3A,13811,0.0
396,3A,12527,0.0
397,3A,14144,290.0
398,3A,18959,17.0
399,3A,15228,0.0
400,3A,13200,0.0
401,3A,14041,0.0
402,3A,20358,0.0
403,3A,16265,461.0
404,3A,14772,0.0
405,3A,16578,0.0
406,3A,19547,0.0
407,3A,16324,0.0
408,3A,20277,106.0
409,3A,15995,532.0
410,3A,9261,0.0
411,3A,21015,0.0
412,3A,19728,74.0
413,3A,8635,0.0
414,3A,13173,0.0
415,3A,9296,29.0
416,3A,9136,0.0
417,3A,13553,0.0
418,3A,20127,0.0
