,Start of Path,End of Path,Number of Cars on Path
0,3A,3F,0.0
1,3A,7J,0.0
2,3A,7M,0.0
3,3A,BM,0.0
4,3A,CE,0.0
5,3A,DO,0.0
6,3A,DV,0.0
7,3A,DW,0.0
8,3A,DZ,0.0
9,3A,EC,0.0
10,3A,FF,0.0
11,3A,NZ,0.0
12,3A,QT,0.0
13,3A,RO,0.0
14,3A,RX,0.0
15,3A,SO,0.0
16,3A,UL,0.0
17,3A,VW,0.0
18,3A,WL,0.0
19,3A,QW,0.0
20,3A,WK,0.0
21,3F,3A,
22,3F,7J,
23,3F,7M,
24,3F,BM,
25,3F,CE,
26,3F,DO,
27,3F,DV,
28,3F,DW,
29,3F,DZ,
30,3F,EC,
31,3F,FF,
32,3F,NZ,
33,3F,QT,
34,3F,RO,
35,3F,RX,
36,3F,SO,
37,3F,UL,
38,3F,VW,
39,3F,WL,
40,3F,QW,
41,3F,WK,
42,7J,3A,
43,7J,3F,
44,7J,7M,
45,7J,BM,
46,7J,CE,
47,7J,DO,
48,7J,DV,
49,7J,DW,
50,7J,DZ,
51,7J,EC,
52,7J,FF,
53,7J,NZ,
54,7J,QT,
55,7J,RO,
56,7J,RX,
57,7J,SO,
58,7J,UL,
59,7J,VW,
60,7J,WL,
61,7J,QW,
62,7J,WK,
63,7M,3A,
64,7M,3F,
65,7M,7J,
66,7M,BM,
67,7M,CE,
68,7M,DO,
69,7M,DV,
70,7M,DW,
71,7M,DZ,
72,7M,EC,
73,7M,FF,
74,7M,NZ,
75,7M,QT,
76,7M,RO,
77,7M,RX,
78,7M,SO,
79,7M,UL,
80,7M,VW,
81,7M,WL,
82,7M,QW,
83,7M,WK,
84,BM,3A,
85,BM,3F,
86,BM,7J,
87,BM,7M,
88,BM,CE,
89,BM,DO,
90,BM,DV,
91,BM,DW,
92,BM,DZ,
93,BM,EC,
94,BM,FF,
95,BM,NZ,
96,BM,QT,
97,BM,RO,
98,BM,RX,
99,BM,SO,
100,BM,UL,
101,BM,VW,
102,BM,WL,
103,BM,QW,
104,BM,WK,
105,CE,3A,
106,CE,3F,
107,CE,7J,
108,CE,7M,
109,CE,BM,
110,CE,DO,
111,CE,DV,
112,CE,DW,
113,CE,DZ,
114,CE,EC,
115,CE,FF,
116,CE,NZ,
117,CE,QT,
118,CE,RO,
119,CE,RX,
120,CE,SO,
121,CE,UL,
122,CE,VW,
123,CE,WL,
124,CE,QW,
125,CE,WK,
126,DO,3A,
127,DO,3F,
128,DO,7J,
129,DO,7M,
130,DO,BM,
131,DO,CE,
132,DO,DV,
133,DO,DW,
134,DO,DZ,
135,DO,EC,
136,DO,FF,
137,DO,NZ,
138,DO,QT,
139,DO,RO,
140,DO,RX,
141,DO,SO,
142,DO,UL,
143,DO,VW,
144,DO,WL,
145,DO,QW,
146,DO,WK,
147,DV,3A,
148,DV,3F,
149,DV,7J,
150,DV,7M,
151,DV,BM,
152,DV,CE,
153,DV,DO,
154,DV,DW,
155,DV,DZ,
156,DV,EC,
157,DV,FF,
158,DV,NZ,
159,DV,QT,
160,DV,RO,
161,DV,RX,
162,DV,SO,
163,DV,UL,
164,DV,VW,
165,DV,WL,
166,DV,QW,
167,DV,WK,
168,DW,3A,
169,DW,3F,
170,DW,7J,
171,DW,7M,
172,DW,BM,
173,DW,CE,
174,DW,DO,
175,DW,DV,
176,DW,DZ,
177,DW,EC,
178,DW,FF,
179,DW,NZ,
180,DW,QT,
181,DW,RO,
182,DW,RX,
183,DW,SO,
184,DW,UL,
185,DW,VW,
186,DW,WL,
187,DW,QW,
188,DW,WK,
189,DZ,3A,
190,DZ,3F,
191,DZ,7J,
192,DZ,7M,
193,DZ,BM,
194,DZ,CE,
195,DZ,DO,
196,DZ,DV,
197,DZ,DW,
198,DZ,EC,
199,DZ,FF,
200,DZ,NZ,
201,DZ,QT,
202,DZ,RO,
203,DZ,RX,
204,DZ,SO,
205,DZ,UL,
206,DZ,VW,
207,DZ,WL,
208,DZ,QW,
209,DZ,WK,
210,EC,3A,
211,EC,3F,
212,EC,7J,
213,EC,7M,
214,EC,BM,
215,EC,CE,
216,EC,DO,
217,EC,DV,
218,EC,DW,
219,EC,DZ,
220,EC,FF,
221,EC,NZ,
222,EC,QT,
223,EC,RO,
224,EC,RX,
225,EC,SO,
226,EC,UL,
227,EC,VW,
228,EC,WL,
229,EC,QW,
230,EC,WK,
231,FF,3A,
232,FF,3F,
233,FF,7J,
234,FF,7M,
235,FF,BM,
236,FF,CE,
237,FF,DO,
238,FF,DV,
239,FF,DW,
240,FF,DZ,
241,FF,EC,
242,FF,NZ,
243,FF,QT,
244,FF,RO,
245,FF,RX,
246,FF,SO,
247,FF,UL,
248,FF,VW,
249,FF,WL,
250,FF,QW,
251,FF,WK,
252,NZ,3A,
253,NZ,3F,
254,NZ,7J,
255,NZ,7M,
256,NZ,BM,
257,NZ,CE,
258,NZ,DO,
259,NZ,DV,
260,NZ,DW,
261,NZ,DZ,
262,NZ,EC,
263,NZ,FF,
264,NZ,QT,
265,NZ,RO,
266,NZ,RX,
267,NZ,SO,
268,NZ,UL,
269,NZ,VW,
270,NZ,WL,
271,NZ,QW,
272,NZ,WK,
273,QT,3A,
274,QT,3F,
275,QT,7J,
276,QT,7M,
277,QT,BM,
278,QT,CE,
279,QT,DO,
280,QT,DV,
281,QT,DW,
282,QT,DZ,
283,QT,EC,
284,QT,FF,
285,QT,NZ,
286,QT,RO,
287,QT,RX,
288,QT,SO,
289,QT,UL,
290,QT,VW,
291,QT,WL,
292,QT,QW,
293,QT,WK,
294,RO,3A,
295,RO,3F,
296,RO,7J,
297,RO,7M,
298,RO,BM,
299,RO,CE,
300,RO,DO,
301,RO,DV,
302,RO,DW,
303,RO,DZ,
304,RO,EC,
305,RO,FF,
306,RO,NZ,
307,RO,QT,
308,RO,RX,
309,RO,SO,
310,RO,UL,
311,RO,VW,
312,RO,WL,
313,RO,QW,
314,RO,WK,
315,RX,3A,
316,RX,3F,
317,RX,7J,
318,RX,7M,
319,RX,BM,
320,RX,CE,
321,RX,DO,
322,RX,DV,
323,RX,DW,
324,RX,DZ,
325,RX,EC,
326,RX,FF,
327,RX,NZ,
328,RX,QT,
329,RX,RO,
330,RX,SO,
331,RX,UL,
332,RX,VW,
333,RX,WL,
334,RX,QW,
335,RX,WK,
336,SO,3A,
